TransactionID,Date,Amount,Type,Description,Category
79,2025-09-13,2659.16,transfer,Train Ticket,TRAVEL
80,2024-09-17,596.56,credit,Mobile Recharge,BILLS
81,2024-10-09,2678.17,credit,Fuel Station,TRAVEL
82,2024-05-09,4854.19,transfer,Flight Booking,TRAVEL
83,2025-09-22,2163.25,debit,McDonalds,FOOD
84,2024-08-03,2044.2,credit,Flipkart Order,SHOPPING
85,2024-08-19,4961.22,transfer,Flipkart Order,SHOPPING
86,2025-09-13,3784.95,transfer,Water Bill,BILLS
87,2023-12-30,1838.3,credit,Restaurant Bill,FOOD
88,2024-03-19,87.06,credit,Movie Ticket,ENTERTAINMENT
89,2025-07-15,297.95,transfer,Flight Booking,TRAVEL
90,2025-03-26,1706.75,debit,Pharmacy Purchase,MEDICAL
91,2025-08-30,1838.06,transfer,McDonalds,FOOD
92,2025-05-11,3854.81,transfer,Mutual Fund SIP,INVESTMENT
93,2024-07-20,1205.91,credit,Bank Transfer,TRANSFER
94,2025-03-05,3788.08,credit,Dominos Pizza,FOOD
95,2024-09-14,4185.84,transfer,Medical Test,MEDICAL
96,2024-10-24,1545.45,debit,Stock Purchase,INVESTMENT
97,2025-01-08,2069.73,credit,Train Ticket,TRAVEL
98,2024-01-28,2504.0,transfer,Train Ticket,TRAVEL
99,2025-09-27,3063.08,debit,Mobile Recharge,BILLS
100,2025-10-27,1830.57,credit,Mutual Fund SIP,INVESTMENT
101,2025-05-14,2872.39,debit,Restaurant Bill,FOOD
102,2024-01-29,1523.99,debit,Crypto Buy,INVESTMENT
103,2024-12-16,2063.6,transfer,Mobile Recharge,BILLS
104,2025-01-30,4463.34,debit,Pharmacy Purchase,MEDICAL
105,2024-02-19,4894.58,debit,Monthly Salary Credit,SALARY
106,2023-12-07,2688.69,debit,Amazon Purchase,SHOPPING
107,2024-03-18,998.0,transfer,Myntra Clothing,SHOPPING
108,2025-02-11,4508.92,credit,Netflix Subscription,ENTERTAINMENT
109,2025-02-27,4585.8,debit,Internet Bill,BILLS
110,2024-07-01,2054.85,debit,Amazon Purchase,SHOPPING
111,2024-01-28,345.93,transfer,Doctor Consultation,MEDICAL
112,2024-09-16,2568.29,debit,McDonalds,FOOD
113,2024-05-05,96.67,transfer,Myntra Clothing,SHOPPING
114,2025-09-13,4243.89,transfer,Monthly Salary Credit,SALARY
115,2024-12-05,264.21,credit,Mutual Fund SIP,INVESTMENT
116,2024-05-28,4264.97,transfer,Bank Transfer,TRANSFER
117,2025-07-18,1159.97,transfer,Water Bill,BILLS
118,2024-01-06,969.57,transfer,Stock Purchase,INVESTMENT
119,2025-06-28,261.98,debit,Netflix Subscription,ENTERTAINMENT
120,2024-05-08,3128.3,debit,Bonus Credit,SALARY
121,2025-06-22,3220.7,debit,Crypto Buy,INVESTMENT
122,2024-08-25,4694.48,debit,Electricity Bill,BILLS
123,2025-08-06,688.83,transfer,Water Bill,BILLS
124,2025-10-09,3952.94,debit,Monthly Salary Credit,SALARY
125,2025-03-26,2700.4,credit,Fuel Station,TRAVEL
126,2024-04-18,353.04,debit,Lifestyle Store,SHOPPING
127,2025-07-28,3880.88,transfer,Internet Bill,BILLS
128,2024-07-16,640.16,credit,Medical Test,MEDICAL
129,2024-02-11,3750.52,debit,Fuel Station,TRAVEL
130,2025-08-29,4439.8,debit,Starbucks Coffee,FOOD
131,2025-11-04,3213.24,transfer,Wallet Transfer,TRANSFER
132,2025-10-02,4454.08,transfer,Medical Test,MEDICAL
133,2025-02-10,912.55,credit,Uber Ride,TRAVEL
134,2023-11-21,3721.16,debit,Pharmacy Purchase,MEDICAL
135,2025-03-21,604.11,debit,Starbucks Coffee,FOOD
136,2024-02-13,4131.32,transfer,Medical Test,MEDICAL
137,2025-01-05,3363.01,debit,Doctor Consultation,MEDICAL
138,2024-04-16,84.78,credit,McDonalds,FOOD
139,2024-10-24,4672.22,transfer,Bonus Credit,SALARY
140,2024-10-24,1082.39,transfer,Water Bill,BILLS
141,2024-08-02,175.65,debit,UPI Transfer,TRANSFER
142,2024-04-24,4496.72,transfer,Restaurant Bill,FOOD
143,2025-04-15,950.15,debit,Stock Purchase,INVESTMENT
144,2025-08-22,1430.07,transfer,Flipkart Order,SHOPPING
145,2025-04-15,3220.34,debit,Monthly Salary Credit,SALARY
146,2025-02-13,4035.37,debit,Lifestyle Store,SHOPPING
147,2024-06-19,151.36,transfer,Train Ticket,TRAVEL
148,2024-02-21,1683.85,debit,Medical Test,MEDICAL
149,2025-04-12,2883.67,transfer,Wallet Transfer,TRANSFER
150,2025-01-23,654.01,debit,Wallet Transfer,TRANSFER
151,2024-11-08,4773.17,credit,Internet Bill,BILLS
152,2024-01-06,4023.39,debit,Stock Purchase,INVESTMENT
153,2024-01-16,929.55,credit,Bonus Credit,SALARY
154,2025-06-30,1131.34,credit,Doctor Consultation,MEDICAL
155,2025-07-20,4778.98,transfer,Myntra Clothing,SHOPPING
156,2024-06-19,2073.24,debit,Crypto Buy,INVESTMENT
157,2024-07-10,3771.03,credit,Monthly Salary Credit,SALARY
158,2025-06-23,243.16,transfer,Crypto Buy,INVESTMENT
159,2024-07-19,4117.97,credit,McDonalds,FOOD
160,2025-03-14,1343.89,credit,Bank Transfer,TRANSFER
161,2024-02-09,4919.07,debit,Dominos Pizza,FOOD
162,2025-09-20,2518.34,transfer,Train Ticket,TRAVEL
163,2024-08-09,3910.49,credit,Movie Ticket,ENTERTAINMENT
164,2024-02-20,262.01,transfer,Flipkart Order,SHOPPING
165,2025-09-09,2795.72,transfer,Flipkart Order,SHOPPING
166,2024-03-20,2955.2,transfer,Monthly Salary Credit,SALARY
167,2024-05-20,2971.81,transfer,Monthly Salary Credit,SALARY
168,2025-04-08,798.17,transfer,UPI Transfer,TRANSFER
169,2025-01-13,2060.35,credit,Bank Transfer,TRANSFER
170,2024-11-12,4478.2,debit,Wallet Transfer,TRANSFER
171,2025-06-28,3400.93,credit,Monthly Salary Credit,SALARY
172,2025-08-26,2657.58,transfer,Myntra Clothing,SHOPPING
173,2025-08-02,2515.64,transfer,Monthly Salary Credit,SALARY
174,2024-09-28,948.58,credit,Uber Ride,TRAVEL
175,2025-08-08,2873.66,debit,Flipkart Order,SHOPPING
176,2025-09-06,3982.63,debit,Fuel Station,TRAVEL
177,2024-01-09,4066.49,transfer,Pharmacy Purchase,MEDICAL
178,2025-02-02,3830.86,transfer,Fuel Station,TRAVEL
179,2025-07-10,4756.2,credit,Medical Test,MEDICAL
180,2025-05-25,1095.19,credit,Fuel Station,TRAVEL
181,2024-03-25,2871.77,transfer,Bonus Credit,SALARY
182,2024-02-29,1914.45,debit,Dominos Pizza,FOOD
183,2024-04-14,2027.47,credit,Myntra Clothing,SHOPPING
184,2024-08-26,4593.33,transfer,Lifestyle Store,SHOPPING
185,2024-02-04,304.41,credit,Bonus Credit,SALARY
186,2025-03-01,189.69,transfer,Monthly Salary Credit,SALARY
187,2024-02-22,4917.68,credit,Pharmacy Purchase,MEDICAL
188,2025-05-28,1729.75,transfer,Water Bill,BILLS
189,2025-06-05,2190.62,transfer,Train Ticket,TRAVEL
190,2024-04-20,2586.3,debit,Internet Bill,BILLS
191,2024-05-15,1508.14,debit,Internet Bill,BILLS
192,2023-12-05,2301.11,credit,Stock Purchase,INVESTMENT
193,2024-11-16,2949.86,debit,Flight Booking,TRAVEL
194,2024-07-17,2169.84,transfer,Myntra Clothing,SHOPPING
195,2024-05-18,2047.99,transfer,Monthly Salary Credit,SALARY
196,2025-02-20,1885.14,transfer,Mobile Recharge,BILLS
197,2023-12-15,3516.7,debit,McDonalds,FOOD
198,2023-11-24,3064.85,transfer,Gaming Purchase,ENTERTAINMENT
199,2024-01-08,278.51,transfer,Myntra Clothing,SHOPPING
200,2025-07-31,4561.44,credit,Fuel Station,TRAVEL
201,2025-06-23,4826.55,credit,Uber Ride,TRAVEL
202,2024-01-24,4452.58,transfer,Monthly Salary Credit,SALARY
203,2024-06-19,106.62,debit,Myntra Clothing,SHOPPING
204,2024-02-26,3558.78,debit,Bank Transfer,TRANSFER
205,2024-03-13,4111.91,credit,Flipkart Order,SHOPPING
206,2024-06-14,3612.58,debit,Pharmacy Purchase,MEDICAL
207,2025-05-29,2520.06,transfer,Bank Transfer,TRANSFER
208,2025-08-29,3788.32,debit,McDonalds,FOOD
209,2025-03-02,3809.65,credit,Flipkart Order,SHOPPING
210,2024-12-04,2618.66,debit,Uber Ride,TRAVEL
211,2025-05-09,3543.29,credit,Bank Transfer,TRANSFER
212,2024-04-28,4283.67,debit,Crypto Buy,INVESTMENT
213,2025-05-17,4219.88,transfer,Stock Purchase,INVESTMENT
214,2024-04-15,1665.4,credit,Movie Ticket,ENTERTAINMENT
215,2024-12-03,4075.63,debit,Amazon Purchase,SHOPPING
216,2025-06-11,1549.08,debit,Lifestyle Store,SHOPPING
217,2024-05-28,1842.04,credit,Train Ticket,TRAVEL
218,2024-01-30,1555.96,transfer,UPI Transfer,TRANSFER
219,2024-08-04,2716.44,transfer,Bank Transfer,TRANSFER
220,2024-06-30,3096.46,credit,Dominos Pizza,FOOD
221,2025-03-24,3281.63,transfer,Mutual Fund SIP,INVESTMENT
222,2024-08-01,3751.35,debit,Flight Booking,TRAVEL
223,2024-03-01,1829.52,debit,Monthly Salary Credit,SALARY
224,2025-06-13,196.4,debit,Lifestyle Store,SHOPPING
225,2025-03-08,1529.8,transfer,Pharmacy Purchase,MEDICAL
226,2024-08-30,135.35,transfer,Train Ticket,TRAVEL
227,2025-03-22,4468.15,transfer,Train Ticket,TRAVEL
228,2025-08-10,1427.62,transfer,Uber Ride,TRAVEL
229,2024-10-16,3715.48,debit,Monthly Salary Credit,SALARY
230,2025-06-22,1886.03,transfer,Medical Test,MEDICAL
231,2024-02-08,2728.32,transfer,Fuel Station,TRAVEL
232,2025-01-20,4414.23,credit,Electricity Bill,BILLS
233,2025-01-02,1198.03,debit,Netflix Subscription,ENTERTAINMENT
234,2025-01-01,4485.99,credit,Restaurant Bill,FOOD
235,2024-02-21,4113.8,credit,Mobile Recharge,BILLS
236,2024-11-30,2923.08,debit,Starbucks Coffee,FOOD
237,2024-09-08,147.29,transfer,Starbucks Coffee,FOOD
238,2025-08-16,4994.3,debit,Flipkart Order,SHOPPING
239,2024-06-22,3979.52,credit,Uber Ride,TRAVEL
240,2025-06-15,3650.45,debit,Fuel Station,TRAVEL
241,2024-06-05,1770.34,credit,Bank Transfer,TRANSFER
242,2025-10-01,1560.15,transfer,Wallet Transfer,TRANSFER
243,2023-11-26,4894.1,debit,Gaming Purchase,ENTERTAINMENT
244,2024-02-12,4125.92,transfer,Restaurant Bill,FOOD
245,2025-09-26,3940.26,credit,Stock Purchase,INVESTMENT
246,2025-06-06,4901.15,credit,Mobile Recharge,BILLS
247,2024-02-09,1814.23,credit,Mobile Recharge,BILLS
248,2024-04-25,2430.18,transfer,Pharmacy Purchase,MEDICAL
249,2025-03-25,2425.43,debit,Mutual Fund SIP,INVESTMENT
250,2025-11-10,2165.14,transfer,Lifestyle Store,SHOPPING
251,2024-03-01,2183.6,credit,Crypto Buy,INVESTMENT
252,2024-05-19,3147.24,transfer,Medical Test,MEDICAL
253,2025-06-22,1162.8,credit,Netflix Subscription,ENTERTAINMENT
254,2025-09-21,1226.09,transfer,Wallet Transfer,TRANSFER
255,2024-07-12,3476.47,transfer,Stock Purchase,INVESTMENT
256,2025-10-03,4904.27,transfer,Stock Purchase,INVESTMENT
257,2024-01-26,4755.98,transfer,Flight Booking,TRAVEL
258,2024-03-20,584.97,credit,Restaurant Bill,FOOD
259,2024-06-07,4480.02,credit,Monthly Salary Credit,SALARY
260,2025-07-26,3455.31,debit,Wallet Transfer,TRANSFER
261,2025-10-31,1501.85,credit,Netflix Subscription,ENTERTAINMENT
262,2024-07-22,1305.68,transfer,Water Bill,BILLS
263,2024-08-11,2089.04,debit,Mutual Fund SIP,INVESTMENT
264,2024-01-21,2551.6,credit,Mobile Recharge,BILLS
265,2024-09-30,1005.7,credit,Doctor Consultation,MEDICAL
266,2025-11-11,169.32,debit,Internet Bill,BILLS
267,2024-12-06,1021.65,debit,Fuel Station,TRAVEL
268,2024-09-25,583.43,transfer,Bank Transfer,TRANSFER
269,2024-08-07,3339.32,transfer,Flight Booking,TRAVEL
270,2025-09-12,3038.79,credit,Wallet Transfer,TRANSFER
271,2025-09-10,1315.42,credit,Gaming Purchase,ENTERTAINMENT
272,2025-02-09,4013.86,credit,Stock Purchase,INVESTMENT
273,2025-08-28,958.34,transfer,McDonalds,FOOD
274,2024-08-10,691.08,transfer,Flipkart Order,SHOPPING
275,2024-06-14,4060.55,credit,Bonus Credit,SALARY
276,2024-08-14,2256.02,transfer,Monthly Salary Credit,SALARY
277,2025-04-30,137.42,transfer,Medical Test,MEDICAL
278,2024-10-13,4126.99,transfer,Stock Purchase,INVESTMENT
279,2023-12-10,1215.04,transfer,Train Ticket,TRAVEL
280,2024-06-24,4918.21,transfer,Mutual Fund SIP,INVESTMENT
281,2024-12-28,1625.36,credit,Gaming Purchase,ENTERTAINMENT
282,2025-05-05,3353.37,debit,Stock Purchase,INVESTMENT
283,2024-05-22,3757.16,debit,Restaurant Bill,FOOD
284,2025-11-07,58.33,credit,Bonus Credit,SALARY
285,2024-03-22,1649.41,debit,Uber Ride,TRAVEL
286,2024-05-07,2174.91,debit,Train Ticket,TRAVEL
287,2024-03-05,971.81,credit,Electricity Bill,BILLS
288,2025-10-10,2594.46,transfer,Medical Test,MEDICAL
289,2024-08-20,655.93,transfer,Water Bill,BILLS
290,2024-03-18,2775.07,transfer,Pharmacy Purchase,MEDICAL
291,2023-12-04,3540.89,credit,Pharmacy Purchase,MEDICAL
292,2025-01-06,4312.09,debit,Pharmacy Purchase,MEDICAL
293,2024-06-22,3377.95,debit,Uber Ride,TRAVEL
294,2025-01-16,2889.9,transfer,Gaming Purchase,ENTERTAINMENT
295,2024-11-05,3159.81,debit,Mutual Fund SIP,INVESTMENT
296,2025-06-08,4273.47,debit,UPI Transfer,TRANSFER
297,2023-12-25,243.55,debit,Monthly Salary Credit,SALARY
298,2025-05-14,4734.89,credit,Bonus Credit,SALARY
299,2024-06-06,1181.25,debit,Mutual Fund SIP,INVESTMENT
300,2025-08-06,1555.09,transfer,Monthly Salary Credit,SALARY
301,2024-11-22,713.99,credit,Mutual Fund SIP,INVESTMENT
302,2025-01-06,2782.81,credit,McDonalds,FOOD
303,2024-03-31,4166.36,debit,Wallet Transfer,TRANSFER
304,2023-12-09,484.7,transfer,Amazon Purchase,SHOPPING
305,2025-03-26,3982.67,transfer,Train Ticket,TRAVEL
306,2025-05-05,857.98,credit,Restaurant Bill,FOOD
307,2025-01-13,4923.77,debit,Train Ticket,TRAVEL
308,2024-12-09,2618.69,credit,Movie Ticket,ENTERTAINMENT
309,2024-08-12,2535.53,debit,Amazon Purchase,SHOPPING
310,2025-07-05,3574.71,debit,Water Bill,BILLS
311,2024-08-20,2387.35,credit,Dominos Pizza,FOOD
312,2025-09-22,4772.32,credit,Internet Bill,BILLS
313,2024-08-19,4627.85,transfer,Mutual Fund SIP,INVESTMENT
314,2024-01-17,1177.25,transfer,Uber Ride,TRAVEL
315,2025-03-12,2681.89,credit,Monthly Salary Credit,SALARY
316,2024-06-08,2355.82,transfer,Gaming Purchase,ENTERTAINMENT
317,2023-12-24,3815.11,credit,Wallet Transfer,TRANSFER
318,2025-01-19,2271.05,debit,Gaming Purchase,ENTERTAINMENT
319,2024-04-26,251.63,credit,Crypto Buy,INVESTMENT
320,2025-07-03,1497.91,credit,Doctor Consultation,MEDICAL
321,2025-07-31,2046.71,credit,Restaurant Bill,FOOD
322,2024-07-02,2103.05,debit,UPI Transfer,TRANSFER
323,2024-02-13,4768.39,transfer,Amazon Purchase,SHOPPING
324,2023-12-03,215.1,debit,Train Ticket,TRAVEL
325,2025-04-10,2432.66,transfer,Flipkart Order,SHOPPING
326,2025-10-19,2615.71,credit,Bank Transfer,TRANSFER
327,2024-06-11,4832.11,debit,Movie Ticket,ENTERTAINMENT
328,2025-01-05,4711.34,transfer,Restaurant Bill,FOOD
329,2024-11-25,3235.38,debit,Starbucks Coffee,FOOD
330,2024-11-21,2006.08,credit,Movie Ticket,ENTERTAINMENT
331,2024-03-15,1351.1,debit,UPI Transfer,TRANSFER
332,2025-08-17,481.22,transfer,Fuel Station,TRAVEL
333,2024-07-24,2637.71,debit,UPI Transfer,TRANSFER
334,2025-10-21,1294.56,transfer,Myntra Clothing,SHOPPING
335,2025-08-13,4312.09,debit,Fuel Station,TRAVEL
336,2024-06-06,4525.24,debit,Bonus Credit,SALARY
337,2024-06-16,4733.95,credit,Uber Ride,TRAVEL
338,2023-12-01,1907.05,credit,Mobile Recharge,BILLS
339,2024-02-17,1523.46,transfer,Gaming Purchase,ENTERTAINMENT
340,2025-10-23,700.36,credit,Monthly Salary Credit,SALARY
341,2024-03-17,1126.81,credit,Flight Booking,TRAVEL
342,2024-07-17,991.76,debit,Pharmacy Purchase,MEDICAL
343,2025-06-12,4197.32,transfer,UPI Transfer,TRANSFER
344,2024-09-12,415.49,credit,Mutual Fund SIP,INVESTMENT
345,2024-04-15,4688.21,debit,Bonus Credit,SALARY
346,2024-11-30,652.16,debit,Doctor Consultation,MEDICAL
347,2024-05-26,2017.85,credit,Movie Ticket,ENTERTAINMENT
348,2024-04-19,1134.11,debit,Netflix Subscription,ENTERTAINMENT
349,2025-07-21,3598.08,transfer,Myntra Clothing,SHOPPING
350,2024-01-19,4633.98,credit,Mutual Fund SIP,INVESTMENT
351,2025-05-06,765.87,transfer,Mobile Recharge,BILLS
352,2025-04-05,3220.84,debit,Mutual Fund SIP,INVESTMENT
353,2024-11-05,2529.41,debit,Flipkart Order,SHOPPING
354,2024-11-29,1408.6,debit,Netflix Subscription,ENTERTAINMENT
355,2024-05-26,173.21,credit,Pharmacy Purchase,MEDICAL
356,2024-12-21,4933.74,credit,Amazon Purchase,SHOPPING
357,2024-02-20,3294.64,transfer,Bonus Credit,SALARY
358,2023-11-20,791.85,debit,Amazon Purchase,SHOPPING
359,2025-03-30,492.81,transfer,Train Ticket,TRAVEL
360,2025-03-27,4461.17,credit,Fuel Station,TRAVEL
361,2024-05-20,3018.81,debit,Amazon Purchase,SHOPPING
362,2025-01-08,4474.0,transfer,Movie Ticket,ENTERTAINMENT
363,2025-03-01,986.96,credit,Fuel Station,TRAVEL
364,2025-05-02,4583.45,debit,Movie Ticket,ENTERTAINMENT
365,2024-06-28,4243.96,transfer,Mobile Recharge,BILLS
366,2024-03-07,2313.93,credit,Netflix Subscription,ENTERTAINMENT
367,2025-08-20,1254.4,debit,McDonalds,FOOD
368,2025-05-10,3117.28,debit,Movie Ticket,ENTERTAINMENT
369,2024-01-11,3854.55,transfer,Restaurant Bill,FOOD
370,2024-05-06,1025.21,transfer,UPI Transfer,TRANSFER
371,2024-04-14,2810.41,transfer,Dominos Pizza,FOOD
372,2025-05-31,3100.63,credit,Bonus Credit,SALARY
373,2025-03-08,1449.48,transfer,Movie Ticket,ENTERTAINMENT
374,2024-02-08,1892.76,transfer,Internet Bill,BILLS
375,2024-04-20,4351.7,transfer,Bank Transfer,TRANSFER
376,2024-10-08,4843.27,credit,Train Ticket,TRAVEL
377,2025-01-07,3310.81,credit,Flipkart Order,SHOPPING
378,2024-11-29,802.7,credit,Electricity Bill,BILLS
379,2024-09-11,491.05,debit,Internet Bill,BILLS
380,2025-01-25,1242.46,credit,Train Ticket,TRAVEL
381,2025-04-25,4385.33,transfer,Myntra Clothing,SHOPPING
382,2025-02-12,2309.94,debit,Mutual Fund SIP,INVESTMENT
383,2024-12-04,3635.15,credit,Doctor Consultation,MEDICAL
384,2024-08-19,4151.23,credit,Fuel Station,TRAVEL
385,2025-06-01,3018.4,transfer,Pharmacy Purchase,MEDICAL
386,2024-07-07,1843.24,credit,Train Ticket,TRAVEL
387,2025-06-22,303.18,credit,Train Ticket,TRAVEL
388,2025-11-04,97.42,debit,Train Ticket,TRAVEL
389,2025-10-21,4613.01,debit,Crypto Buy,INVESTMENT
390,2024-06-04,1739.2,debit,McDonalds,FOOD
391,2023-12-28,2521.85,transfer,Restaurant Bill,FOOD
392,2025-08-22,4383.9,debit,UPI Transfer,TRANSFER
393,2024-05-11,2435.05,credit,Mutual Fund SIP,INVESTMENT
394,2025-02-03,4588.6,debit,Bank Transfer,TRANSFER
395,2024-03-03,2307.01,debit,Pharmacy Purchase,MEDICAL
396,2024-10-26,4236.03,credit,Medical Test,MEDICAL
397,2024-11-13,230.31,credit,Starbucks Coffee,FOOD
398,2025-01-15,4496.72,debit,McDonalds,FOOD
399,2025-07-09,1100.39,debit,Monthly Salary Credit,SALARY
400,2025-01-20,1071.62,transfer,Bank Transfer,TRANSFER
401,2025-07-16,232.92,transfer,Flipkart Order,SHOPPING
402,2024-08-14,3097.24,debit,Mobile Recharge,BILLS
403,2024-04-16,2416.99,debit,Flipkart Order,SHOPPING
404,2024-02-28,4287.72,debit,McDonalds,FOOD
405,2024-04-22,3487.44,transfer,Uber Ride,TRAVEL
406,2025-11-01,1184.74,credit,Bonus Credit,SALARY
407,2025-09-08,4814.53,credit,Internet Bill,BILLS
408,2024-02-16,1820.95,transfer,UPI Transfer,TRANSFER
409,2025-05-27,2291.31,transfer,Crypto Buy,INVESTMENT
410,2024-05-02,709.54,credit,Bank Transfer,TRANSFER
411,2025-11-10,2080.06,debit,Train Ticket,TRAVEL
412,2025-03-31,1455.02,transfer,Bonus Credit,SALARY
413,2023-11-29,2992.33,transfer,Flipkart Order,SHOPPING
414,2024-12-30,4263.6,credit,Wallet Transfer,TRANSFER
415,2025-06-30,3513.23,credit,Medical Test,MEDICAL
416,2025-07-03,3285.36,transfer,Amazon Purchase,SHOPPING
417,2025-04-27,3943.77,debit,Restaurant Bill,FOOD
418,2024-06-02,3884.89,debit,Amazon Purchase,SHOPPING
419,2024-10-28,4290.18,debit,Flipkart Order,SHOPPING
420,2024-01-08,3468.68,transfer,Mutual Fund SIP,INVESTMENT
421,2025-01-26,2260.25,credit,Starbucks Coffee,FOOD
422,2024-02-11,2124.2,transfer,Amazon Purchase,SHOPPING
423,2024-01-19,3915.23,transfer,Doctor Consultation,MEDICAL
424,2023-11-27,1898.1,credit,Mobile Recharge,BILLS
425,2024-08-17,3465.25,debit,Dominos Pizza,FOOD
426,2025-05-13,4568.48,transfer,Flipkart Order,SHOPPING
427,2024-06-20,392.3,credit,Bonus Credit,SALARY
428,2024-09-22,3168.36,credit,Fuel Station,TRAVEL
429,2025-03-18,4337.95,credit,Monthly Salary Credit,SALARY
430,2025-03-20,4618.18,credit,Gaming Purchase,ENTERTAINMENT
431,2024-11-29,3332.55,transfer,Bonus Credit,SALARY
